flow	staging	outcome	crash_at	run_id	status	run_root_hits	dump_hits	order
adopt	encrypted	clean	after-detect	screen-20260922T191834Z-adopt-encrypted-clean-after-detect	exit-137	1	0	pass
adopt	encrypted	clean	after-extract	screen-20260922T191834Z-adopt-encrypted-clean-after-extract	exit-137	1	0	pass
adopt	encrypted	clean	after-first-log	screen-20260922T191834Z-adopt-encrypted-clean-after-first-log	exit-137	1	0	pass
adopt	encrypted	clean	in-review	screen-20260922T191834Z-adopt-encrypted-clean-in-review	exit-137	1	0	pass
adopt	encrypted	clean	in-db-txn	screen-20260922T191834Z-adopt-encrypted-clean-in-db-txn	exit-137	1	0	pass
adopt	encrypted	clean	after-commit	screen-20260922T191834Z-adopt-encrypted-clean-after-commit	exit-137	1	0	pass
adopt	encrypted	rejected	none	screen-20260922T191834Z-adopt-encrypted-rejected-none	refused-as-expected	1	0	pass
adopt	encrypted	rejected	after-read	screen-20260922T191834Z-adopt-encrypted-rejected-after-read	refused-as-expected	1	0	pass
adopt	encrypted	rejected	after-parse	screen-20260922T191834Z-adopt-encrypted-rejected-after-parse	refused-as-expected	1	0	pass
adopt	encrypted	rejected	after-detect	screen-20260922T191834Z-adopt-encrypted-rejected-after-detect	refused-as-expected	1	0	pass
adopt	encrypted	rejected	after-extract	screen-20260922T191834Z-adopt-encrypted-rejected-after-extract	refused-as-expected	1	0	pass
adopt	encrypted	rejected	after-first-log	screen-20260922T191834Z-adopt-encrypted-rejected-after-first-log	refused-as-expected	1	0	pass
adopt	encrypted	rejected	in-review	screen-20260922T191834Z-adopt-encrypted-rejected-in-review	refused-as-expected	1	0	pass
adopt	encrypted	rejected	in-db-txn	screen-20260922T191834Z-adopt-encrypted-rejected-in-db-txn	refused-as-expected	1	0	pass
adopt	encrypted	rejected	after-commit	screen-20260922T191834Z-adopt-encrypted-rejected-after-commit	refused-as-expected	1	0	pass
