kubernetes	v1.15.0	1.29.0	refused: compatibility with version 1.15.0 is not supported
kubernetes	v1.15.0	1.30.0	refused: compatibility with version 1.15.0 is not supported
kubernetes	v1.15.0	1.31.0	refused: compatibility with version 1.15.0 is not supported
kubernetes	v1.15.0	1.32.0	refused: compatibility with version 1.15.0 is not supported
kubernetes	v1.15.0	1.33.0	refused: compatibility with version 1.15.0 is not supported
kubernetes	v1.15.0	1.34.0	refused: compatibility with version 1.15.0 is not supported
kubernetes	v1.15.0	1.35.0	refused: compatibility with version 1.15.0 is not supported
kubernetes	v1.15.0	1.36.0	refused: compatibility with version 1.15.0 is not supported
kubernetes	v1.15.0	1.36.2	refused: compatibility with version 1.15.0 is not supported
kubernetes	v1.15.0	1.37.0	refused: compatibility with version 1.15.0 is not supported
upgrade	v1.15.0	from v1.10.0	refused: upgrades to version 1.15.0 are not supported
upgrade	v1.15.0	from v1.11.0	refused: upgrades to version 1.15.0 are not supported
upgrade	v1.15.0	from v1.12.0	refused: upgrades to version 1.15.0 are not supported
upgrade	v1.15.0	from v1.13.0	refused: upgrades to version 1.15.0 are not supported
upgrade	v1.15.0	from v1.14.0	refused: upgrades to version 1.15.0 are not supported
upgrade	v1.15.0	from v1.15.0	refused: upgrades to version 1.15.0 are not supported
